state,name,id,type,heatInput,load,co2Mass,so2Mass,noxMass,heatRate,co2Rate
IL,Marion,976,Gas,1456049.6,98959.34,78262577.79450001,4035.15888,23114.166615,14.713614702765804,790.8558989429397
IN,Clifty Creek,983,Coal,63297933.36,6448557.93,5891590354.67481,3181143.085665,4126023.436785,9.815827669861687,913.6291274155942
IN,IPL - Harding Street Station (EW Stout),990,Oil,1461953.99,114060.26,79163632.03827,549.75411,103639.535955,12.817382583557148,694.050951999145
IN,IPL - Harding Street Station (EW Stout),990,Gas,15685187.4,1466328.17,845979949.605,4420.712505,514519.951785,10.696914729531521,576.9376643735898
IN,IPL - Eagle Valley Generating Station,991,Gas,28192587.59,4410612.17,1519937567.1640198,7672.97073,66253.53491999999,6.391989706499177,344.6092081054635
IN,C. C. Perry K Steam Plant,992,Gas,3440570.938,2331902.03,47515873.68495,,297494.084235,1.475435457294919,20.376445096602108
IN,IPL - Petersburg Generating Station,994,Coal,85606365.69,8885399.15,7967999811.153001,4897292.165715,4602148.597815,9.634498602125262,896.7520396822016
IN,Michigan City Generating Station,997,Coal,15596291.6,1577096.61,1483919759.866395,621620.398515,649637.900055,9.889242993173385,940.9187429972314
IN,Cayuga,1001,Coal,45362856.88,4837186.73,4222245311.9917355,1511292.19209,3875663.963595,9.377942058482411,872.8720943943661
IN,Cayuga,1001,Oil,45532811.26,4850305.49,4231428677.7078605,1511342.0872650002,3879669.18537,9.387617203468146,872.4045704815719
IN,Cayuga,1001,Gas,169954.38,13118.76,9183365.716125,49.895175,4005.221775,12.95506435059411,700.0178154128134
IN,Edwardsport Generating Station,1004,Coal,29133197.98,3579724.67,3157648737.77457,51193.356735,749877.30663,8.138390704780097,882.0926269099266
IN,Noblesville,1007,Gas,11574676.1,1104991.41,624033513.336555,3149.74632,136158.489465,10.474901429324234,564.7406013197469
IN,F B Culley Generating Station,1012,Coal,11316006.38,944097.51,1050223135.0771652,541267.3943249999,911586.66162,11.986056800425203,1112.4096017128202
NC,Butler-Warner Generation Plant,1016,Oil,649447.1,41554.0,,247.66150500000003,92529.24126,15.628991192183664,
IN,Whitewater Valley,1040,Coal,709197.875,60380.03,66011141.438295,795602.152185,120348.069285,11.745570099915486,1093.261156682019
IA,Lansing,1047,Coal,11421565.04,1098989.73,1086203753.2329001,274618.507275,220056.772635,10.392785963523062,988.3656994983021
IA,Marshalltown CTs,1068,Gas,963107.683,70908.2,,261.26928,108039.383205,13.582458488581011,
