date,year,month,dow,btc,hashrate,btcReward,difficulty,btcDiffEra,mWhPerBTC,revPerMWhBTC,coal,coalLag,costMWh,costMWhLag,paLMP,paLMPQuantile,dummyBuy,dummySell,temp,precip,heatInput,load,co2Mass,so2Mass,noxMass,loadPanther,loadCambria,co2MassCambria,loadColver,co2MassColver,loadGilberton,co2MassGilberton,loadMtCarmel,co2MassMtCarmel,loadStNicholas,co2MassStNicholas,loadNorthampton,co2MassNorthampton
2016-09-24,2016,9,6,603.88,1874777.56,12.5,225833000000.0,107.0,0.8829754197574474,683.914848010022,41.45,42.1,28.952680722891564,17.88826895565093,20.113601604166668,1,1,0,17.598595594435153,0.6758118401291563,13346500000.0,701681.0269583333,1288.4748554999999,1.8751513950000003,0.86726886,0.0,2000449.1739166668,2771.994486,2349.0,0.0,1872013.2465416668,2893.3758390000003,955.0,1587.8459055,1817176.5995833336,3382.167117,0.0,0.0
2016-09-25,2016,9,7,601.74,2230413.26,12.5,234689000000.0,108.0,1.0504713340397975,572.8285775166167,41.45,42.1,28.952680722891564,17.88826895565093,16.568678833333333,0,1,0,15.60410388554061,0.8606737360319872,12733600000.0,697534.5886250001,1229.417112,1.751774235,0.913535295,0.0,1706674.0180000002,2378.276196,1858.0,0.0,1891190.5238333335,2930.20755,943.0,1547.294736,1807121.4866250001,3272.6698875,0.0,0.0
2016-09-26,2016,9,1,598.98,1834694.782,12.5,241227000000.0,108.0,0.8640973893794889,693.1857535527673,41.45,42.1,28.952680722891564,17.88826895565093,20.336024041666665,1,1,0,14.962642388407403,2.900059887903626,11766500000.0,645082.1437083334,1135.977057,1.508648655,0.773828805,0.0,1806603.1818333336,2514.172509,2158.0,0.0,1821012.0550416666,2866.6138815,953.0,1575.5081895,1770114.5245,3294.3516090000003,0.0,0.0
2016-09-27,2016,9,2,605.96,2026558.28,12.5,241227000000.0,108.0,0.9544605110090664,634.8717343574249,41.45,42.1,28.952680722891564,17.88826895565093,20.237031583333334,1,1,0,14.697666606909763,4.575098754277938,12021500000.0,650368.8525833334,1160.5617705,1.466918145,0.772014435,0.0,1794682.1716250002,2496.210246,2373.0,0.0,1842158.8905416667,2862.168675,964.0,1612.4306190000002,1809091.0448333335,3390.9668115,0.0,0.0
2016-09-28,2016,9,3,605.67,1774737.43,12.5,241227000000.0,108.0,0.8358589096903334,724.6079367920919,41.45,42.1,28.952680722891564,17.88826895565093,19.777135125,1,1,0,13.594766043530342,9.54800175273327,11580100000.0,631502.5581666667,1118.0147940000002,1.421558895,0.719397705,0.0,1783175.8052500002,2489.497077,2491.0,0.0,1866415.5547916668,2880.9474044999997,960.0,1618.41804,1804011.657875,3457.0098795,0.0,0.0
2016-09-29,2016,9,4,603.85,1714780.091,12.5,241227000000.0,108.0,0.8076204361238667,747.6903418865271,41.45,42.1,28.952680722891564,17.88826895565093,19.206113854166666,0,1,0,13.415288275541059,19.82397788828849,11195400000.0,620410.8356250001,1080.9109275,1.36803498,0.637751055,0.0,1786596.616875,2466.1824225,2534.0,0.0,1868385.1130000001,2890.9264395,793.02,1322.371823025,1813237.4831666667,3445.0350375000003,0.0,0.0
2016-09-30,2016,9,5,609.39,1702788.62,12.5,241227000000.0,108.0,0.80197273990345,759.863733115623,41.45,43.35,28.952680722891564,18.10912017167382,17.374143562500002,0,1,0,12.679432548468867,16.2742060781577,7717409000.0,421141.3022016667,745.086462645,0.9434724000000001,0.46357153500000003,0.0,1734869.7986666667,2395.0591185,1611.65,0.0,1849311.4966666666,2862.9851415000003,931.0,1598.822844,1813652.127,3461.636523,0.0,0.0
2016-10-01,2016,10,6,614.82,1882660.65,12.5,241227000000.0,108.0,0.8866881667255386,693.3892016067794,41.45,43.35,28.952680722891564,18.10912017167382,16.104029479166666,0,1,0,13.086101759908217,6.015901680580709,0.0,0.0,0.0,0.0,0.0,0.0,1742229.7267083335,2428.6249635,0.0,0.0,1211881.6049025,1848.79041327,184.52,310.97576052,1827853.6782916668,3404.665305,0.0,0.0
2016-10-02,2016,10,7,612.98,1690797.152,12.5,241227000000.0,108.0,0.7963250450959615,769.7610464155784,41.45,43.35,28.952680722891564,18.10912017167382,16.252747604166665,0,1,0,13.442634657598035,1.609920705651554,0.0,0.0,0.0,0.0,0.0,0.0,1746687.1479166667,2422.6375425,0.0,0.0,0.0,0.0,0.0,0.0,1840189.3323333336,3382.8021465,0.0,0.0
2016-10-03,2016,10,1,611.85,1822703.31,12.5,241227000000.0,108.0,0.858449692688096,712.7383295858502,41.45,43.35,28.952680722891564,18.10912017167382,22.705595875,2,1,0,14.159045846915262,0.37251669248602387,0.0,0.0,0.0,0.0,0.0,0.0,390440.0361720834,536.704253775,0.0,0.0,0.0,0.0,838.56,1405.210514115,1841744.2467083335,3374.1838890000004,0.0,0.0
